Trading Name,Trading Code,CCY,Underlying Benchmark,Close,Last,Chng %,Val ($M),Yield (%),TER (%),Documents,Fund Manager,TR 1M (%),TR 3M (%),TR 1Y (%),Ann. TR 1Y (%),Ann. TR 3Y (%),Asset Class,Geographical Focus,Income Treatment,Sustainability linked,Management Style,CPF Eligibility,SIP/EIP,Tick Size
CSOP APAC SELECT S$,LCS,SGD,FTSE Asia Pacific Low Carbon Select Index,2.784,2.807,0,0,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/307ca0327d191ec682a023dfc291a14a_289162/PHS_SG_en_SGXC58537918_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-05-08): https://api.fundinfo.com/document/209a3874b3a2cb0e4d06dc1319507f51_1820677/PR_SG_en_SGXC58537918_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/56b14697fa90505ad31e3caeb7335be4_509070/SAR_SG_en_SGXC58537918_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,0.23,10.79,39.43,39.18,19.72,Equities,Asia Pacific,Distributing,Yes,PASSIVE,No,EIP,0.001
CSOP APAC SELECT US$,LCU,USD,FTSE Asia Pacific Low Carbon Select Index,2.157,2.159,0,0,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/307ca0327d191ec682a023dfc291a14a_289162/PHS_SG_en_SGXC58537918_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-05-08): https://api.fundinfo.com/document/209a3874b3a2cb0e4d06dc1319507f51_1820677/PR_SG_en_SGXC58537918_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/56b14697fa90505ad31e3caeb7335be4_509070/SAR_SG_en_SGXC58537918_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,-1.45,9.73,38.93,38.68,21.47,Equities,Asia Pacific,Distributing,Yes,PASSIVE,No,EIP,0.001
CSOP DIV ETF S$,SHD,SGD,SSE Dividend Index,1.083,1.06,0,0,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/85baa03d70c3a9d8ce84a1d3aee6c2fe_232110/PHS_SG_en_SGXC63479007_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-11-12): https://api.fundinfo.com/document/b9428bed5687e774a5f4425b7fe62262_1073326/PR_SG_en_SGXC63479007_YES_2025-11-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/86c8291c5543de4a14289aad5ba82f47_453349/SAR_SG_en_SGXC63479007_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,-3.59,-1.74,10.7,10.64,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
CSOP SEA TECH ETF S$,SQQ,SGD,iEdge Southeast Asia+ TECH Index,1.106,1.106,0,0,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/213340375a986094beacba4000f26bf0_234189/PHS_SG_en_SGXC71124538_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-11-12): https://api.fundinfo.com/document/b9428bed5687e774a5f4425b7fe62262_1073326/PR_SG_en_SGXC71124538_YES_2025-11-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/86c8291c5543de4a14289aad5ba82f47_453349/SAR_SG_en_SGXC71124538_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,-2.12,-2.49,3.61,3.61,,Equities,South-East Asia,Accumulating,No,PASSIVE,No,EIP,0.001
CSOP SEA TECH ETF US$,SQU,USD,iEdge Southeast Asia+ TECH Index,0.858,0.857,0,0,,,Product Highlight Sheet (2026-05-08): https://api.fundinfo.com/document/213340375a986094beacba4000f26bf0_234189/PHS_SG_en_SGXC71124538_YES_2026-05-08.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-11-12): https://api.fundinfo.com/document/b9428bed5687e774a5f4425b7fe62262_1073326/PR_SG_en_SGXC71124538_YES_2025-11-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/86c8291c5543de4a14289aad5ba82f47_453349/SAR_SG_en_SGXC71124538_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,-3.32,-3.01,3.7,3.7,,Equities,South-East Asia,Accumulating,No,PASSIVE,No,EIP,0.001
ICBC CSOP CGB ETF S$,CYC,SGD,FTSE Chinese Government Bond Index,13.45,13.46,0,0,,,Product Highlight Sheet (2025-09-02): https://api.fundinfo.com/document/f6b10700ef3963926f8df08bf5991e48_237272/PHS_SG_en_SGXC34971074_YES_2025-09-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-02): https://api.fundinfo.com/document/f8028b15d184dd28acf4fb35fee43f35_793548/PR_SG_en_SGXC34971074_YES_2025-09-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/449f00a8d83e5bf430a7df43d1e4e2b5_250045/SAR_SG_en_SGXC34971074_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,2.33,3.49,7.73,7.69,4.03,Fixed Income,China,Distributing,No,PASSIVE,No,EIP,0.01
ICBC CSOP CGB ETF US$A,CYX,USD,FTSE Chinese Government Bond Index,11.75,11.76,0,0,,,Product Highlight Sheet (2025-09-02): https://api.fundinfo.com/document/f6b10700ef3963926f8df08bf5991e48_237272/PHS_SG_en_SGXC30293382_YES_2025-09-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-02): https://api.fundinfo.com/document/f8028b15d184dd28acf4fb35fee43f35_793548/PR_SG_en_SGXC30293382_YES_2025-09-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/449f00a8d83e5bf430a7df43d1e4e2b5_250045/SAR_SG_en_SGXC30293382_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,0.62,2.5,7.33,7.29,5.55,Fixed Income,China,Accumulating,No,PASSIVE,No,EIP,0.01
ICBC CSOP CGB ETF US$D,CYB,USD,FTSE Chinese Government Bond Index,10.41,10.39,0,0,,,Product Highlight Sheet (2025-09-02): https://api.fundinfo.com/document/f6b10700ef3963926f8df08bf5991e48_237272/PHS_SG_en_SGXC34971074_YES_2025-09-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-02): https://api.fundinfo.com/document/f8028b15d184dd28acf4fb35fee43f35_793548/PR_SG_en_SGXC34971074_YES_2025-09-02.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/449f00a8d83e5bf430a7df43d1e4e2b5_250045/SAR_SG_en_SGXC34971074_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,CSOP Asset Management Pte. Ltd.,0.62,2.5,7.31,7.27,5.55,Fixed Income,China,Distributing,No,PASSIVE,No,EIP,0.01
IS ASIA BND US$,N6M,USD,J.P. Morgan Asia Credit Index - Core,9.83,9.85,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/35a9d6bfeb6ad44e1019c72929f12635_267988/MR_SG_en_SG2D32970329_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-06-12): https://api.fundinfo.com/document/5d35048bce3fddcd333d3d8a200ef5b4_185376/PHS_SG_en_SG2D32970329_YES_2025-06-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-12-31): https://api.fundinfo.com/document/70e705441f4f69c0f6e9cdaf8999219e_644804/AR_SG_en_SG2D32970329_YES_2024-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SG2D32970329_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2022-06-24): https://api.fundinfo.com/document/500e07cb91a371ffe733b8e1b63bdb25_834223/PR_SG_en_SG2D32970329_YES_2022-06-24.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),-0.08,0.2,6.67,6.67,7.3,Fixed Income,Asia,Distributing,No,PASSIVE,No,EIP,0.01
IS INDIA CLIMATE US$,I98,USD,MSCI India ESG Enhanced Focus CTB Select Index,12.74,12.7,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/709f7c781bf9477d5bbc42688cc05233_239182/MR_SG_en_SG1T41930465_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-12-31): https://api.fundinfo.com/document/70e705441f4f69c0f6e9cdaf8999219e_644804/AR_SG_en_SG1T41930465_YES_2024-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SG1T41930465_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2023-03-06): https://api.fundinfo.com/document/af8882ad8b9a7d6657eac12f794ece47_1274868/PR_SG_en_SG1T41930465_YES_2023-03-06.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),-3.65,-6.47,-14.31,-14.31,2.69,Equities,India,Accumulating,Yes,PASSIVE,No,EIP,0.01
ISHARES AXJCLIMATE US$,ICU,USD,MSCI AC Asia ex Japan Climate Action Index,1.522,1.546,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/6994d76bab8a680893a4ed09bf12d331_203054/MR_SG_en_SGXC39575946_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-06-30): https://api.fundinfo.com/document/06ac477e6919c2a6bfa27467cfea1520_626745/SAR_SG_en_SGXC39575946_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Black Rock Singapore (Ltd),-1.5,9,23.61,23.61,,Equities,Asia,Distributing,Yes,PASSIVE,No,EIP,0.001
Lion-CM CSI Div CNY,ICH,CNH,CSI Dividend Index,5.237,5.348,0,0,,,,Lion Global Investors Limited,,,,,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
Lion-CM EM Asia S$,EAA,SGD,iEdge Emerging Asia Select 50 Index,1.21,1.207,0,0,,,,Lion Global Investors Limited,,,,,,Equities,Asia,Accumulating,No,PASSIVE,No,EIP,0.001
Lion-CM EM Asia US$,EAU,USD,iEdge Emerging Asia Select 50 Index,0.937,0.923,0,0,,,,Lion Global Investors Limited,,,,,,Equities,Asia,Accumulating,No,PASSIVE,No,EIP,0.001
Lion-OCBC Sec HSTECH US$,HSS,USD,Hang Seng TECH Index,0.563,0.558,0,0,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/16b3a7174290b73a3aaccb25b0b168cf_172454/MR_SG_en_SGXC56627679_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/4ce765619de8835cbf68ed16a99d12c4_350058/AR_SG_en_SGXC56627679_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-11-12): https://api.fundinfo.com/document/2ced0da9a7484ee30ae0f9eec150acbe_618091/PR_SG_en_SGXC56627679_YES_2025-11-12.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/16f8d7d58fc8fa76db223287e9c76cbb_150263/SAR_SG_en_SGXC56627679_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-11-13): https://api.fundinfo.com/document/052a53e74047335be515e3a04c1cbe52_85200/PHS_SG_en_SGXC56627679_YES_2024-11-13.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-4.25,-1.14,-7.16,-7.16,8.21,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
Lion-OSPL APAC Fin US$,YLU,USD,iEdge APAC Financials Dividend Plus Index,1.138,1.124,0,0,,,Monthly Report (2026-04-30): https://api.fundinfo.com/document/bc267b0eda95edfe4bdd66d2205c71d4_200145/MR_SG_en_SGXC10762612_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-20): https://api.fundinfo.com/document/0a8b412f4d979cd67b80afe0e198f582_711030/PR_SG_en_SGXC10762612_YES_2026-03-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/7389663c1b32f99d05a07871ebdb7ea2_685846/AR_SG_en_SGXC10762612_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/5151daac5e7a2a8b2fb65533ab7ff596_173521/SAR_SG_en_SGXC10762612_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-03-21): https://api.fundinfo.com/document/44dbd3c35e214ac45cbcf488a8718cda_105931/PHS_SG_en_SGXC10762612_YES_2025-03-21.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-5.98,1.08,23.6,23.46,,Equities,Asia Pacific,Distributing,No,PASSIVE,No,EIP,0.001
Lion-OSPL China L CNY,YYR,CNH,Hang Seng Stock Connect China 80 Index,9.086,9.179,0,0,,,Prospectus (2026-06-26): https://api.fundinfo.com/document/0ee3b303a8e9fc0f106bb04b54af21ee_730773/PR_SG_en_SGXC42834322_YES_2026-06-26.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Monthly Report (2026-04-30): https://api.fundinfo.com/document/ab71a292a7378558717808575891df83_207640/MR_SG_en_SGXC42834322_YES_2026-04-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/e5566b575755c74c09ff026fc543e2d6_669991/AR_SG_en_SGXC42834322_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/9689904719c9cce0c08b7deaf33ccdf0_205689/SAR_SG_en_SGXC42834322_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Lion Global Investors Limited,-3.52,-0.61,4.69,4.69,8.7,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
PHIL AP DIV REIT S$D,BYJ,SGD,iEdge APAC ex Japan Dividend Leaders REIT Index,1.117,1.132,0,0,,,,Phillip Capital Management (S) Ltd,,,,,,REITs,Asia Pacific,Distributing,No,PASSIVE,No,EIP,0.001
PHIL SING INC USD,OVS,USD,Morningstar® Singapore Yield Focus Index,1.233,1.228,0,0,,,,Phillip Capital Management (S) Ltd,,,,,,Equities,Singapore,Accumulating,No,PASSIVE,No,EIP,0.001
PHIL-CU MS CHINA A50 US$,MCS,USD,MSCI China A 50 Connect Index,1.18,1.217,0,0,,,Monthly Report (2026-05-31): https://api.fundinfo.com/document/f15f69d58d613dc9fdc7fae92059557f_525808/MR_SG_en_SGXC55887332_YES_2026-05-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2026-03-31): https://api.fundinfo.com/document/a5b179b7f5ed209f3b58366beb0b708b_516732/AR_SG_en_SGXC55887332_YES_2026-03-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-02-20): https://api.fundinfo.com/document/36636ebf5f71427e2510804a42125809_170450/PHS_SG_en_SGXC55887332_YES_2026-02-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-02-20): https://api.fundinfo.com/document/3461e8f6aa5470ea359d51d0e6227171_1101905/PR_SG_en_SGXC55887332_YES_2026-02-20.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2024-09-30): https://api.fundinfo.com/document/8a71892cc91243ce245593cdcd94373f_200754/SAR_SG_en_SGXC55887332_YES_2024-09-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Phillip Capital Management (S) Ltd,10.34,10.34,43.68,43.4,,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
PHILLIP MM US$D,MMT,USD,FTSE SGD 3-month SOR Index,80.02,79.83,0,0,,,Monthly Report (2026-05-29): https://api.fundinfo.com/document/95a4ebbf5f36f407bf0b41a51f35afcc_525896/MR_SG_en_SGXC85914460_YES_2026-05-29.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/48c2c48b96c7e5f15d61fc4e7d11e161_839182/AR_SG_en_SGXC85914460_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/e251bb23e19866cd91c96920f15c56df_551398/SAR_SG_en_SGXC85914460_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2024-09-18): https://api.fundinfo.com/document/642f6e30d455f9f92516cd3846ebb299_1038557/PR_SG_en_SGXC85914460_YES_2024-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2024-09-18): https://api.fundinfo.com/document/3a7dda51a54d0e0eb06dbe6fe9e4ff19_191152/PHS_SG_en_SGXC85914460_YES_2024-09-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,Phillip Capital Management (S) Ltd,,,,,,Fixed Income,Singapore,Distributing,No,PASSIVE,No,EIP,0.001
SS SPDR JPMSaudiAgBd USD,KSB,USD,J.P. Morgan Saudi Arabia Aggregate Index,31.825,31.72,0,0,,,,State Street Investment Management,,,,,,Fixed Income,Saudi Arabia,Accumulating,No,PASSIVE,No,EIP,0.001
UOB AP GRN REIT US$,GRE,USD,iEdge-UOB APAC Yield Focus Green REIT Index,0.544,0.541,0,0,,,Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/0371f5079c681f96f0821eb14bf03254_80132/SAR_SG_en_SGXC32426998_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-09-25): https://api.fundinfo.com/document/01e0da9df68acc0769d61acb4de52706_248532/PHS_SG_en_SGXC32426998_YES_2025-09-25.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-09-01): https://api.fundinfo.com/document/ee802eb1a082fafe0ea2d1d28e82af20_754056/PR_SG_en_SGXC32426998_YES_2025-09-01.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/5c36a5fbace5f8fe5ed0b705f39c8502_158735/AR_SG_en_SGXC32426998_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,UOB Asset Management,-4.75,-6.07,0,0,2.66,REITs,Asia Pacific,Distributing,Yes,PASSIVE,No,EIP,0.001
UOBAM FTSE CN A50 US$,VK8,USD,FTSE China A50 Index,1.942,1.991,0,0,,,Product Highlight Sheet (2026-03-23): https://api.fundinfo.com/document/928213b78323633700a1a9708b128586_264655/PHS_SG_en_SG1Y89950071_YES_2026-03-23.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-03-23): https://api.fundinfo.com/document/db3d0d77e6d023eb1a5ee4359a2c83b5_699627/PR_SG_en_SG1Y89950071_YES_2026-03-23.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2024-06-30): https://api.fundinfo.com/document/da3f52e81cf1216c37108dc84a5c2c30_140080/AR_SG_en_SG1Y89950071_YES_2024-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,UOB Asset Management,,,,,,Equities,China,Distributing,No,PASSIVE,No,EIP,0.001
UOBAM PA FT ASEAN DV US$,UPU,USD,FTSE ASEAN ex REITs Target Dividend Index,0.755,0.747,0,0,,,,UOB Asset Management,,,,,,Equities,South-East Asia,Distributing,No,PASSIVE,No,EIP,0.001
UOBAM PINGAN CHINEXT US$,CXU,USD,ChiNext Index,1.011,1.016,0,0,,,Semi-annual Report (2025-12-31): https://api.fundinfo.com/document/c94cb8cea02d5bcc443a940a2d18ca35_79844/SAR_SG_en_SGXC54700155_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2025-12-11): https://api.fundinfo.com/document/15c24f8e327d998cebe9fa9a48272cc7_251372/PHS_SG_en_SGXC54700155_YES_2025-12-11.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2025-12-11): https://api.fundinfo.com/document/404d321c04fbaf6be354f9b83a8999bd_753660/PR_SG_en_SGXC54700155_YES_2025-12-11.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-06-30): https://api.fundinfo.com/document/9eb90285e91aff62ecbd0de28b9b95ac_152930/AR_SG_en_SGXC54700155_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,UOB Asset Management,0.22,18.08,84.17,83.56,17.94,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.001
XT MS SING S$,XSG,SGD,MSCI Singapore Investable Market Total Return Net Index,3.325,3.09,0,0,,,Product Highlight Sheet (2026-06-18): https://api.fundinfo.com/document/259998e593572961d6ba4ce7fd21fd0c_56641/PHS_SG_en_LU0659578842_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Prospectus (2026-06-18): https://api.fundinfo.com/document/524b6958a32c40db4e7bcd7570f4a7b0_4365618/PR_SG_en_LU0659578842_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/b19b04bab7cd60922c0d96d7b2e2f774_3608253/AR_SG_en_LU0659578842_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/8d845f18dc319ce0fde262920a164de6_1349897/SAR_SG_en_LU0659578842_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,DWS Investments,,,,,,Equities,Singapore,Accumulating,No,PASSIVE,No,EIP,0.001
XT MSCHINA US$,LG9,USD,MSCI China TR Net Daily USD Index,17.42,17.84,0,0,,,Prospectus (2026-06-18): https://api.fundinfo.com/document/524b6958a32c40db4e7bcd7570f4a7b0_4365618/PR_SG_en_LU0514695690_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-06-18): https://api.fundinfo.com/document/3be26b936fdaeea2c6931798da1944f3_63051/PHS_SG_en_LU0514695690_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/b19b04bab7cd60922c0d96d7b2e2f774_3608253/AR_SG_en_LU0514695690_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/8d845f18dc319ce0fde262920a164de6_1349897/SAR_SG_en_LU0514695690_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,DWS Investments,-5.84,-4.21,3.23,3.23,9.26,Equities,China,Accumulating,No,PASSIVE,No,EIP,0.01
XT MSINDO US$,KJ7,USD,MSCI Daily TRN Net Emerging Markets Indonesia USD Index,8.6,8.54,0,0,,,Prospectus (2026-06-18): https://api.fundinfo.com/document/524b6958a32c40db4e7bcd7570f4a7b0_4365618/PR_SG_en_LU0476289623_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Product Highlight Sheet (2026-06-18): https://api.fundinfo.com/document/a574cc304f59899a045b932512909b98_71921/PHS_SG_en_LU0476289623_YES_2026-06-18.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Annual Report (2025-12-31): https://api.fundinfo.com/document/b19b04bab7cd60922c0d96d7b2e2f774_3608253/AR_SG_en_LU0476289623_YES_2025-12-31.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 Semi-annual Report (2025-06-30): https://api.fundinfo.com/document/8d845f18dc319ce0fde262920a164de6_1349897/SAR_SG_en_LU0476289623_YES_2025-06-30.pdf?apiKey=3829b15d-4921-4ea7-9faa-fb1fba132ca7 ,DWS Investments,-23.16,-33.38,-43.24,-43.24,-22.39,Equities,Indonesia,Accumulating,No,PASSIVE,No,SIP,0.01
XT SingGovBond SG$,KV4,SGD,FTSE Singapore Government Bond Index,167.14,166.65,0,0,,,,DWS Investments,0.26,0.56,4.8,4.8,4.74,Fixed Income,Singapore,Accumulating,No,PASSIVE,No,EIP,0.01
